trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.75, 'e': 0.0005408328826392645}",20,2,29.71145133162362,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.75, 'e': 0.0005165289256198347}",20,6,27.58309237877813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.75, 'e': 0.0004938271604938272}",25,8,25.658574490833644,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.75, 'e': 0.0004725897920604915}",25,13,23.027002937594666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.75, 'e': 0.0004526935264825713}",20,0,29.395542902539674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.75, 'e': 0.00043402777777777775}",20,0,22.396200517140763,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.75, 'e': 0.00041649312786339027}",20,13,11.294020891358441,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.75, 'e': 0.0004}",20,7,17.324545086857164,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.75, 'e': 0.00038446751249519417}",30,12,34.77084233528845,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.75, 'e': 0.0003698224852071006}",20,0,34.57117602331768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.75, 'e': 0.000355998576005696}",30,17,25.413399083646347,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.75, 'e': 0.0003429355281207133}",30,20,21.11310957696131,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.75, 'e': 0.00033057851239669424}",20,0,14.909796218433765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.75, 'e': 0.00031887755102040814}",20,4,-11.635902584825459,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.75, 'e': 0.0003077870113881194}",25,16,16.666186446773974,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.75, 'e': 0.00029726516052318666}",25,0,-4.001634287026777,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
59,False,"{'a': 0.75, 'e': 0.0002872737719046251}",20,11,17.881353303156388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.75, 'e': 0.0002777777777777778}",25,8,34.64683645233766,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.75, 'e': 0.0002687449610319806}",25,0,29.500305530050035,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.75, 'e': 0.00026014568158168577}",25,0,41.2623344206306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
